Base Number,Pick Up Date,Number of Trips,Number of Vehicles
B01197,01/11/2015, 76 , 37 
B01282,01/11/2015, 925 , 66 
B01285,01/11/2015," 1,646 ", 150 
B01300,01/11/2015, 875 , 113 
B01312,01/11/2015, 550 , 75 
B01315,01/11/2015," 1,567 ", 138 
B01341,01/11/2015, 849 , 120 
b01346,01/11/2015, 810 , 102 
B01367    ,01/11/2015, 65 , 30 
B01386,01/11/2015," 2,501 ", 186 
B01522,01/11/2015, 89 , 16 
B01651,01/11/2015, 355 , 49 
B01777,01/11/2015, 816 , 127 
B01848,01/11/2015, 9 , -   
B01877,01/11/2015, 147 , 63 
B01899,01/11/2015, 796 , 78 
B01949,01/11/2015, 2 , 1 
B01984,01/11/2015, 72 , 38 
B01990,01/11/2015, 60 , 18 
B02003,01/11/2015, 83 , 43 
B02022,01/11/2015, 32 , 13 
B02096,01/11/2015, 5 , 3 
B02107,01/11/2015, 904 , 85 
B02120,01/11/2015, 171 , 57 
B02147,01/11/2015, 20 , 7 
B02285,01/11/2015, 75 , 39 
B02475,01/11/2015, 6 , 4 
B02513,01/11/2015, 6 , 4 
B02566,01/11/2015, 5 , 5 
B02569,01/11/2015, 64 , 1 
B02653,01/11/2015," 1,220 ", 109 
B02715,01/11/2015, 146 , 56 
B00013,01/12/2015, 378 , 112 
B00014,01/12/2015, 591 , 164 
B00029,01/12/2015," 1,177 ", 51 
B00053,01/12/2015, 99 , 56 
B00095,01/12/2015, 586 , 84 
B00221,01/12/2015, 562 , 81 
B00227,01/12/2015, 508 , 153 
B00248,01/12/2015," 1,094 ", 130 
B00254,01/12/2015," 1,195 ", 300 
B00280,01/12/2015, 270 , 84 
B00310,01/12/2015," 1,570 ", 150 
B00381,01/12/2015, 289 , 89 
B00412,01/12/2015, 393 , 89 
B00448,01/12/2015, 6 , 3 
B00457,01/12/2015," 1,161 ", 114 
B00477,01/12/2015, 580 , 146 
B00552,01/12/2015, 37 , 24 
B00623,01/12/2015, 16 , 8 
B00837,01/12/2015, 513 , 166 
B00887,01/12/2015," 2,337 ", 710 
B00919,01/12/2015, 521 , 65 
B00948,01/12/2015, 542 , 56 
B01066,01/12/2015, 661 , 82 
B01083,01/12/2015, 895 , 105 
B01087,01/12/2015, 858 , 240 
B01148,01/12/2015, 466 , 62 
B01197,01/12/2015, 293 , 87 
B01282,01/12/2015," 1,017 ", 68 
B01285,01/12/2015," 1,283 ", 151 
B01300,01/12/2015, 766 , 124 
B01312,01/12/2015, 844 , 109 
B01313,01/12/2015, 24 , 21 
B01315,01/12/2015," 1,412 ", 145 
B01341,01/12/2015," 1,447 ", 153 
b01346,01/12/2015, 826 , 110 
B01367    ,01/12/2015, 205 , 72 
